,precio,hab,baño,aseo,superficie,fecha_constr,planta,lavadero,trastero,terraza,calefaccion,parking,acc,ascensor,reforma
1,1150000,7,3.0,0.0,336,1960.0,5.0,1,1,12.0,1,0,1,1,1
2,399000,3,1.0,0.0,89,1934.0,4.0,1,1,0.0,1,0,0,1,1
11,470000,2,2.0,0.0,98,1973.0,2.0,1,0,0.0,1,0,0,1,1
13,380000,3,1.0,1.0,86,1976.0,3.0,1,0,4.0,1,0,1,1,0
17,425000,3,2.0,0.0,130,1885.0,3.0,1,0,0.0,0,0,0,0,1
18,450000,2,1.0,1.0,130,1954.0,1.0,0,0,0.0,1,0,1,1,1
32,425000,2,1.0,0.0,100,1900.0,7.0,1,1,0.0,1,0,1,1,0
33,545000,3,2.0,0.0,100,1894.0,5.0,0,0,0.0,1,0,0,1,1
35,760000,6,2.0,0.0,145,1900.0,4.0,1,0,0.0,1,0,0,0,0
38,950000,2,2.0,0.0,108,1898.0,6.0,1,1,64.0,1,0,1,1,0
43,520000,3,2.0,0.0,118,1900.0,4.0,0,0,0.0,1,0,1,1,1
44,1650000,7,2.0,0.0,212,1970.0,2.0,1,0,0.0,0,0,0,1,1
47,415000,2,1.0,0.0,101,1940.0,1.0,1,0,7.0,1,0,0,0,0
51,1700000,4,5.0,0.0,290,1998.0,7.0,0,1,0.0,1,1,1,1,0
52,425000,3,1.0,1.0,130,1885.0,2.0,1,0,0.0,1,0,1,0,1
53,2145000,3,3.0,0.0,259,2021.0,1.0,1,0,131.0,0,1,1,1,0
56,1600000,6,3.0,0.0,340,1900.0,4.0,1,0,0.0,1,0,0,1,0
58,365000,3,1.0,0.0,95,1936.0,2.0,1,1,0.0,0,0,1,1,0
59,325100,3,1.0,0.0,73,1975.0,7.0,0,0,4.0,1,0,0,1,0
61,1665000,3,2.0,0.0,151,2016.0,5.0,0,0,0.0,1,0,1,1,0
64,850000,4,2.0,0.0,150,1890.0,1.0,0,0,0.0,0,0,0,1,1
65,535000,2,2.0,0.0,103,1972.0,8.0,1,0,3.0,1,1,1,1,0
70,600000,2,1.0,0.0,80,1900.0,4.0,1,0,0.0,1,0,1,1,0
71,456000,2,1.0,0.0,62,1910.0,4.0,1,1,0.0,1,0,1,1,1
73,486000,3,2.0,0.0,106,2005.0,2.0,0,0,20.0,1,1,1,1,0
74,1140000,3,2.0,0.0,210,1900.0,4.0,1,1,20.0,1,0,0,1,0
77,1600000,3,3.0,0.0,180,1900.0,6.0,0,0,0.0,1,0,1,1,0
79,644000,4,2.0,0.0,140,1900.0,2.0,0,0,8.0,0,0,0,1,0
82,2550000,5,2.0,1.0,241,1890.0,2.0,1,0,0.0,1,0,1,1,1
87,445000,3,2.0,0.0,101,1972.0,1.0,0,0,0.0,1,1,0,1,0
88,720000,3,2.0,0.0,123,1980.0,5.0,1,0,25.0,1,1,1,0,1
90,575000,4,1.0,0.0,140,1936.0,1.0,1,0,30.0,0,0,0,1,1
91,990000,5,2.0,0.0,182,1936.0,1.0,1,1,10.0,1,0,1,1,0
92,2200000,4,3.0,1.0,226,1885.0,3.0,0,0,0.0,1,0,1,1,0
93,795000,2,2.0,0.0,100,1999.0,5.0,0,0,0.0,1,0,1,1,0
94,2500000,5,4.0,0.0,202,2019.0,3.0,1,1,0.0,1,0,1,1,1
95,250000,3,1.0,0.0,70,1972.0,1.0,1,0,0.0,0,0,0,1,1
96,520000,3,2.0,0.0,115,1936.0,1.0,1,1,0.0,1,0,1,1,0
97,430000,4,1.0,0.0,118,1972.0,6.0,0,0,9.0,1,0,1,1,0
101,330000,3,1.0,0.0,73,1930.0,1.0,0,0,0.0,0,0,0,0,1
106,389000,3,2.0,0.0,95,1980.0,1.0,1,0,10.0,1,0,1,1,0
108,1382000,3,3.0,1.0,295,1900.0,1.0,1,1,30.0,1,0,1,1,1
109,820000,4,4.0,0.0,121,1900.0,1.0,1,0,3.0,1,0,1,1,1
111,1195000,6,2.0,0.0,208,1950.0,3.0,1,0,0.0,1,0,1,1,1
113,445000,3,2.0,0.0,72,2006.0,4.0,0,1,0.0,1,1,1,1,0
114,895000,3,2.0,0.0,180,1936.0,4.0,1,1,0.0,1,0,1,1,0
115,420000,2,1.0,0.0,86,1926.0,4.0,0,1,15.0,1,0,1,1,1
116,485000,3,2.0,0.0,93,1970.0,6.0,0,0,0.0,1,0,1,1,1
117,485000,4,2.0,0.0,115,1936.0,5.0,0,0,0.0,1,0,1,1,1
120,2200000,7,1.0,0.0,228,1920.0,2.0,0,0,0.0,1,0,1,1,1
121,795000,2,1.0,0.0,90,2006.0,2.0,1,0,0.0,1,0,1,1,1
123,425000,3,1.0,1.0,130,1885.0,2.0,1,0,0.0,0,0,0,0,1
124,990000,4,2.0,0.0,180,1936.0,1.0,0,1,7.0,0,0,0,0,0
127,390000,4,2.0,0.0,93,1973.0,2.0,1,0,0.0,1,0,1,1,1
128,710000,3,2.0,0.0,152,1900.0,1.0,0,0,0.0,1,0,1,1,0
132,1960000,8,5.0,0.0,272,1910.0,1.0,0,0,0.0,1,0,1,1,0
133,1350000,5,5.0,0.0,191,1900.0,4.0,0,0,0.0,1,0,1,1,0
134,485000,4,2.0,0.0,115,1936.0,5.0,1,0,0.0,1,0,1,1,1
136,795000,2,1.0,0.0,76,2006.0,2.0,0,0,20.0,1,0,1,1,1
137,950000,2,2.0,0.0,108,1898.0,6.0,1,0,24.0,1,1,1,1,0
138,318000,2,1.0,0.0,69,1970.0,2.0,0,0,0.0,0,0,1,1,0
140,730000,2,2.0,0.0,112,1900.0,3.0,0,0,0.0,1,0,1,1,1
141,485000,5,2.0,0.0,115,1936.0,5.0,1,0,0.0,1,0,1,1,1
142,670000,4,2.0,0.0,130,2001.0,2.0,1,0,0.0,1,1,1,1,0
143,370000,3,1.0,0.0,83,1969.0,5.0,0,0,0.0,1,0,1,1,1
144,764800,2,2.0,0.0,85,1936.0,2.0,0,0,0.0,1,0,1,1,1
146,375000,3,2.0,0.0,85,1973.0,5.0,1,0,0.0,1,0,0,0,1
147,680000,4,2.0,0.0,160,1975.0,6.0,0,1,19.0,1,0,1,1,0
148,685400,4,2.0,0.0,147,1900.0,1.0,1,0,17.0,1,0,0,1,0
150,298000,4,2.0,0.0,82,1972.0,7.0,1,0,5.0,0,0,1,1,0
152,555000,3,2.0,0.0,103,1894.0,4.0,0,0,0.0,1,0,0,1,1
153,1135000,2,2.0,1.0,198,1900.0,1.0,1,1,15.0,0,0,1,1,1
154,685750,3,2.0,0.0,120,1930.0,1.0,1,0,0.0,1,0,1,1,0
156,890000,2,2.0,0.0,100,1999.0,3.0,0,0,0.0,1,0,1,1,0
157,450000,2,2.0,0.0,130,1954.0,1.0,1,0,0.0,1,0,1,1,1
158,530000,2,2.0,0.0,74,1973.0,8.0,1,0,47.0,1,0,1,1,0
159,840000,5,1.0,1.0,221,1910.0,1.0,1,1,10.0,1,0,1,1,0
161,1200000,3,1.0,1.0,180,1936.0,1.0,0,0,15.0,1,0,1,1,0
162,485000,4,1.0,0.0,115,1936.0,5.0,0,0,0.0,1,0,1,1,1
163,990000,4,3.0,0.0,172,1936.0,1.0,1,1,7.0,1,0,0,1,1
164,425000,3,2.0,0.0,130,1885.0,2.0,0,0,0.0,1,0,0,0,1
165,1500000,3,3.0,0.0,141,1998.0,1.0,1,1,0.0,1,1,1,1,0
166,360000,3,1.0,0.0,78,1975.0,2.0,1,0,0.0,0,0,1,1,1
167,895000,3,2.0,0.0,180,1936.0,4.0,0,1,0.0,1,0,1,1,1
169,650000,4,2.0,0.0,113,1964.0,2.0,1,0,10.0,1,0,1,1,0
170,700000,5,3.0,0.0,184,1977.0,9.0,0,1,0.0,0,1,0,1,1
171,849000,5,2.0,0.0,190,1900.0,2.0,0,0,0.0,1,0,0,0,1
172,445000,3,1.0,0.0,109,1890.0,4.0,0,0,0.0,1,0,0,1,1
173,1350000,4,3.0,0.0,225,1900.0,3.0,1,0,0.0,1,1,0,1,0
174,375000,3,1.0,1.0,85,1973.0,5.0,1,0,0.0,1,0,0,1,1
175,445000,4,2.0,0.0,101,1972.0,2.0,1,0,6.0,1,1,1,1,0
176,375000,3,2.0,0.0,85,1973.0,4.0,1,0,0.0,1,0,0,1,1
177,375000,3,1.0,1.0,79,1973.0,5.0,1,0,0.0,1,0,0,1,1
179,375000,3,2.0,0.0,85,1973.0,4.0,1,0,0.0,1,0,0,1,1
180,375000,3,2.0,0.0,85,1973.0,4.0,1,0,0.0,1,0,0,1,1
181,680000,4,2.0,0.0,143,1900.0,3.0,1,0,4.0,0,0,0,1,1
182,745000,4,3.0,0.0,136,1926.0,2.0,1,0,0.0,1,0,1,1,1
183,978000,8,2.0,0.0,261,1918.0,4.0,1,1,18.0,1,0,1,1,0
184,2550000,4,2.0,0.0,230,1890.0,1.0,1,0,0.0,1,0,1,1,0
185,713000,2,2.0,0.0,100,1894.0,3.0,0,0,0.0,1,0,1,1,1
187,320000,3,2.0,0.0,90,1966.0,1.0,1,0,0.0,1,0,1,1,1
188,295000,3,1.0,0.0,73,1966.0,5.0,0,0,0.0,1,0,1,1,0
189,775000,2,2.0,0.0,110,1900.0,3.0,0,0,0.0,0,0,0,1,1
190,525000,3,2.0,0.0,80,1955.0,6.0,1,0,7.0,1,0,1,1,0
191,695000,4,2.0,0.0,150,1900.0,1.0,1,0,17.0,0,0,0,1,1
192,890000,5,3.0,0.0,177,1980.0,3.0,1,0,17.0,0,0,1,1,0
193,375000,3,2.0,0.0,85,1973.0,4.0,1,0,0.0,1,0,0,1,1
194,870000,5,3.0,0.0,184,1977.0,9.0,0,1,0.0,0,1,0,1,1
195,713000,2,2.0,0.0,101,1894.0,2.0,0,0,0.0,1,0,1,1,0
196,720000,4,2.0,0.0,150,1890.0,1.0,0,0,0.0,0,0,0,1,1
197,430000,3,2.0,0.0,101,1972.0,1.0,1,1,0.0,1,0,1,1,0
198,415000,2,1.0,0.0,80,1960.0,4.0,0,0,0.0,0,0,1,1,1
200,3000000,4,3.0,0.0,250,1930.0,3.0,1,0,0.0,1,1,1,1,0
202,1300000,2,2.0,0.0,139,1917.0,4.0,1,0,0.0,1,0,0,1,0
204,740000,3,2.0,0.0,150,1900.0,2.0,0,0,0.0,0,0,0,1,1
205,485000,4,2.0,0.0,115,1936.0,5.0,0,0,0.0,1,0,1,1,1
206,640000,4,2.0,0.0,150,1900.0,3.0,0,0,0.0,0,0,0,1,1
208,859000,5,2.0,0.0,231,1920.0,3.0,0,1,0.0,1,0,1,1,1
210,795000,2,2.0,0.0,100,1999.0,5.0,0,1,0.0,1,0,1,1,1
211,485000,4,2.0,0.0,115,1936.0,4.0,1,0,0.0,1,0,1,1,1
212,1245000,3,2.0,0.0,146,1879.0,1.0,0,0,0.0,1,0,1,1,1
213,425000,3,2.0,0.0,130,1885.0,3.0,1,0,0.0,0,0,0,0,1
214,425000,3,2.0,0.0,130,1885.0,2.0,1,0,0.0,1,0,0,0,1
216,339000,4,2.0,0.0,90,1981.0,1.0,0,0,0.0,1,0,1,1,1
218,359000,2,1.0,0.0,66,2007.0,1.0,1,0,9.0,1,0,1,1,1
220,699000,3,2.0,0.0,107,1900.0,3.0,0,0,0.0,1,0,1,1,1
221,335000,2,1.0,0.0,65,1970.0,6.0,0,1,10.0,1,0,1,1,1
222,375000,3,2.0,0.0,85,1973.0,4.0,1,0,0.0,1,0,0,1,1
223,835000,5,2.0,0.0,157,1970.0,3.0,0,0,0.0,1,0,0,1,0
224,950000,2,2.0,0.0,108,1998.0,5.0,0,0,63.0,1,0,1,1,0
225,860000,5,2.0,0.0,172,1970.0,2.0,0,0,0.0,1,0,0,1,0
226,1175000,4,3.0,0.0,189,1906.0,7.0,1,0,24.0,1,0,1,1,0
227,485000,4,2.0,0.0,115,1936.0,4.0,0,0,0.0,1,0,1,1,1
228,375000,3,1.0,1.0,85,1973.0,4.0,1,0,0.0,1,0,0,1,1
229,1950000,3,2.0,1.0,200,1999.0,5.0,1,0,0.0,1,0,1,1,0
233,370000,3,1.0,0.0,86,1969.0,4.0,1,1,6.0,1,0,1,1,1
234,1000000,8,2.0,0.0,283,1945.0,2.0,1,1,0.0,0,0,1,1,0
238,375000,3,1.0,1.0,85,1973.0,5.0,1,0,0.0,1,0,0,1,1
239,990000,6,2.0,0.0,255,1945.0,3.0,1,1,0.0,1,0,0,1,0
240,740000,3,2.0,0.0,115,1930.0,2.0,0,0,0.0,1,0,1,1,1
242,425000,3,1.0,1.0,130,1885.0,2.0,0,0,0.0,1,0,0,0,1
244,1175000,4,3.0,0.0,195,1900.0,9.0,1,1,25.0,1,0,1,1,0
245,920000,3,2.0,0.0,148,1960.0,3.0,0,0,0.0,1,0,1,1,1
246,485000,4,2.0,0.0,115,1936.0,4.0,0,0,0.0,1,0,1,1,1
247,375000,3,2.0,0.0,85,1973.0,4.0,0,0,0.0,1,0,0,1,1
248,375000,3,2.0,0.0,85,1973.0,4.0,0,0,0.0,1,0,0,1,1
249,375000,3,1.0,1.0,85,1973.0,4.0,1,0,0.0,1,0,0,1,1
250,375000,3,2.0,0.0,85,1973.0,5.0,1,0,0.0,1,0,0,1,1
251,690000,4,2.0,0.0,150,1900.0,3.0,0,0,0.0,0,0,0,1,1
252,616000,4,2.0,0.0,113,1978.0,2.0,0,1,0.0,0,1,0,1,1
253,545000,3,2.0,0.0,90,1890.0,2.0,0,0,0.0,1,0,1,1,0
257,644000,4,2.0,0.0,144,1920.0,2.0,0,0,9.0,0,0,0,1,1
259,650000,3,2.0,0.0,125,1910.0,3.0,0,0,0.0,1,0,1,1,1
260,420000,2,1.0,0.0,75,1926.0,5.0,0,1,0.0,1,0,1,1,1
261,445000,3,2.0,0.0,101,1972.0,1.0,1,0,0.0,1,0,1,1,0
263,370000,3,1.0,0.0,86,1969.0,4.0,0,0,6.0,1,0,1,1,1
264,570000,3,2.0,0.0,109,1890.0,4.0,0,0,0.0,0,0,1,1,1
266,425000,3,2.0,0.0,76,1973.0,4.0,0,0,0.0,1,0,1,1,1
269,430000,3,2.0,0.0,101,1972.0,2.0,1,0,6.0,1,0,1,1,0
271,978000,10,2.0,0.0,262,1918.0,3.0,0,0,0.0,1,0,0,1,0
275,375000,3,2.0,0.0,85,1973.0,4.0,0,0,0.0,1,0,0,1,1
276,380000,3,1.0,0.0,83,1969.0,4.0,1,1,0.0,1,0,1,1,1
277,649000,3,2.0,0.0,130,1900.0,3.0,0,0,6.0,1,0,0,1,0
278,978000,10,2.0,0.0,256,1918.0,3.0,0,0,0.0,1,0,1,1,0
279,430000,3,2.0,0.0,101,1972.0,1.0,1,0,0.0,1,1,0,1,0
280,430000,3,2.0,0.0,101,1972.0,2.0,1,0,6.0,1,0,1,1,0
281,1390000,4,4.0,0.0,220,1900.0,6.0,0,0,0.0,1,0,1,1,0
282,445000,3,2.0,0.0,101,1972.0,1.0,1,0,0.0,1,0,1,1,0
284,1350000,4,3.0,0.0,239,1950.0,7.0,1,0,4.0,1,0,1,0,1
285,880000,2,2.0,0.0,75,1920.0,1.0,1,0,0.0,1,0,1,1,0
286,920000,3,2.0,0.0,143,1960.0,3.0,0,0,0.0,1,0,1,1,1
287,950000,2,2.0,0.0,108,1898.0,6.0,1,1,63.0,1,0,1,1,0
288,640000,6,3.0,0.0,163,1900.0,3.0,1,0,0.0,1,0,0,1,1
289,1400000,5,2.0,0.0,181,1900.0,1.0,1,0,0.0,1,0,0,1,1
290,647000,2,2.0,0.0,103,1936.0,4.0,1,0,4.0,1,0,1,1,1
291,430000,3,2.0,0.0,101,1972.0,1.0,0,0,0.0,1,0,0,1,0
292,445000,3,2.0,0.0,101,1972.0,2.0,1,0,6.0,0,0,0,1,0
294,375000,2,1.0,0.0,70,2007.0,6.0,0,0,0.0,1,0,1,1,0
297,990000,5,2.0,0.0,243,1920.0,4.0,0,0,0.0,1,0,1,1,0
298,560000,3,2.0,0.0,129,1892.0,2.0,0,1,0.0,1,0,1,1,1
303,485000,4,2.0,0.0,115,1936.0,4.0,0,0,0.0,1,0,1,0,1
304,1250000,3,2.0,1.0,170,1900.0,5.0,0,0,15.0,1,0,1,1,1
305,375000,3,1.0,1.0,85,1973.0,5.0,1,0,0.0,1,0,0,0,1
306,950000,6,2.0,0.0,305,1945.0,2.0,0,0,0.0,1,0,1,1,1
307,1390000,4,4.0,0.0,220,1900.0,6.0,1,0,80.0,1,0,1,1,0
308,978000,10,2.0,0.0,262,1918.0,3.0,0,0,0.0,1,0,0,1,0
310,430000,3,2.0,0.0,101,1972.0,1.0,0,0,6.0,1,0,1,1,0
312,445000,3,1.0,0.0,109,1890.0,2.0,0,0,0.0,1,0,1,1,1
313,445000,3,2.0,0.0,101,1972.0,2.0,0,0,0.0,1,0,0,1,0
314,499000,3,2.0,0.0,126,1900.0,4.0,0,0,0.0,0,0,1,1,0
318,430000,3,2.0,0.0,101,1972.0,2.0,0,0,0.0,1,0,0,1,0
321,430000,3,2.0,0.0,96,1972.0,2.0,1,0,5.0,1,0,1,1,0
322,950000,3,2.0,0.0,108,1898.0,6.0,1,1,63.0,1,1,1,0,0
324,1345000,4,2.0,0.0,146,1876.0,1.0,0,0,0.0,1,0,1,1,0
326,349000,3,1.0,0.0,100,1966.0,2.0,1,0,0.0,1,0,0,1,0
327,360000,3,2.0,0.0,107,1962.0,5.0,1,0,0.0,1,0,1,1,1
328,485000,4,2.0,0.0,115,1936.0,5.0,0,0,0.0,0,0,1,1,0
329,425000,3,2.0,0.0,76,1973.0,4.0,1,0,0.0,0,0,1,1,1
330,835000,5,2.0,0.0,157,1970.0,3.0,0,0,0.0,1,0,0,1,1
331,525000,4,1.0,1.0,124,1910.0,1.0,0,1,0.0,1,0,1,1,0
332,590000,2,2.0,0.0,63,2020.0,2.0,0,0,2.0,1,1,1,1,0
333,1600000,3,3.0,0.0,179,1900.0,4.0,0,0,0.0,1,0,1,1,1
334,425000,3,1.0,1.0,76,1973.0,4.0,1,0,0.0,1,0,1,1,1
336,1400000,6,4.0,0.0,270,1940.0,4.0,0,1,20.0,0,1,1,1,0
338,365000,4,1.0,1.0,89,1936.0,4.0,0,0,0.0,0,0,0,1,0
339,875000,6,2.0,0.0,218,1936.0,1.0,1,0,0.0,1,0,0,1,1
341,995000,5,2.0,0.0,150,1895.0,3.0,1,1,0.0,1,0,1,1,0
342,995000,5,2.0,0.0,150,1895.0,3.0,1,1,0.0,1,0,1,1,0
343,450000,2,2.0,0.0,74,2002.0,2.0,0,0,0.0,1,1,1,1,1
345,1495000,5,2.0,0.0,227,1903.0,3.0,0,1,8.0,1,0,1,1,0
346,859000,5,2.0,0.0,205,1920.0,2.0,1,1,0.0,1,0,1,1,1
349,460000,4,2.0,0.0,90,1930.0,4.0,1,1,0.0,0,0,0,1,1
352,430000,3,2.0,0.0,101,1972.0,1.0,1,0,0.0,1,0,0,1,0
353,730000,4,2.0,1.0,150,1930.0,3.0,0,1,0.0,1,0,1,1,1
355,2750000,4,3.0,1.0,231,1988.0,3.0,1,0,0.0,1,1,1,1,0
357,990000,4,2.0,0.0,175,1900.0,3.0,1,0,0.0,1,0,0,1,0
360,359000,3,2.0,0.0,82,1973.0,1.0,0,0,75.0,1,0,1,1,1
361,978000,10,2.0,0.0,252,1918.0,4.0,0,1,0.0,1,0,1,1,0
363,1700000,6,3.0,0.0,290,1920.0,8.0,1,0,0.0,1,1,1,1,1
365,750000,2,2.0,0.0,95,2005.0,1.0,0,1,0.0,1,1,1,1,0
